nome_cliente_13;codice_articolo_13;articolo_colore_13;unita_di_misura_13;quantita_13;imponibile_13
CIOCCA SPA;;;KG;999,370002776384;7163,58
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X660001;40/2 ELAS RIT PA 66 - GREGGIO;KG;509,670001506805;4357,67
CIOCCA SPA;PF0008040/20X661000;40/2 ELAS RIT PA 66 - MORO 81;KG;146,570001363754;1868,79
CIOCCA SPA;PF0008040/20X661001;40/2 ELAS RIT PA 66 - NERO 20;KG;926,619999796152;11814,39
CIOCCA SPA;PF0008040/20X661002;40/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;817,630001038313;10424,78
CIOCCA SPA;PF0008040/20X661003;40/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;146,990000963211;1874,14
CIOCCA SPA;PF0008040/20X661004;40/2 ELAS RIT PA 66 - ANTRACITE 89;KG;407,640000939369;5197,41
CIOCCA SPA;PF0008040/20X661005;40/2 ELAS RIT PA 66 - BORDO' 58;KG;72,0400011539459;918,52
CIOCCA SPA;PF0008040/20X661008;40/2 ELAS RIT PA 66 - CORDA 06;KG;27,3999996185303;349,35
CIOCCA SPA;PF0008040/20X661009;40/2 ELAS RIT PA 66 - ARGENTO 36;KG;29,7600005865097;379,44
CIOCCA SPA;PF0008040/20X661016;40/2 ELAS RIT PA 66 - SABBIA 03;KG;196,009999632835;2499,15
CIOCCA SPA;PF0008040/20X661020;40/2 ELAS RIT PA 66 - MILITARE 42;KG;15,190000295639;193,67
CIOCCA SPA;PF0008040/20X661026;40/2 ELAS RIT PA 66 - BEIGE 111;KG;14,6000003814697;186,15
CIOCCA SPA;PF0008040/20X661027;40/2 ELAS RIT PA 66 - CACAO 15;KG;14,9999995231628;191,25
CIOCCA SPA;PF0008040/20X661033;40/2 ELAS RIT PA 66 - BEIGE 14;KG;15,1899995803833;193,67
CIOCCA SPA;PF0008040/20X661034;40/2 ELAS RIT PA 66 - VR182 - MILITARE 48;KG;13,3999996185303;170,85
CIOCCA SPA;PF0008060/20X661000;60/2 ELAS RIT PA 66 - MORO 81;KG;76,8099995851517;806,54
CIOCCA SPA;PF0008060/20X661001;60/2 ELAS RIT PA 66 - NERO 20;KG;618,020002424717;6489,47
CIOCCA SPA;PF0008060/20X661002;60/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;601,889999389648;6320,03
CIOCCA SPA;PF0008060/20X661003;60/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;155,590000331402;1633,75
CIOCCA SPA;PF0008060/20X661004;60/2 ELAS RIT PA 66 - ANTRACITE 89;KG;209,379997968674;2198,58
CIOCCA SPA;PF0008060/20X661005;60/2 ELAS RIT PA 66 - BORDO' 58;KG;30,0100002288818;315,12
CIOCCA SPA;PF0008060/20X661006;60/2 ELAS RIT PA 66 - INDACO 728;KG;15,07000041008;158,24
CIOCCA SPA;PF0008060/20X661007;60/2 ELAS RIT PA 66 - BLU NAVY 77;KG;13,890000462532;145,85
CIOCCA SPA;PF0008060/20X661009;60/2 ELAS RIT PA 66 - ARGENTO 36;KG;15,0799996852875;158,35
CIOCCA SPA;PF0008060/20X661014;60/2 ELAS RIT PA 66 - GHIACCIO 131;KG;14,8200000524521;155,62
CIOCCA SPA;PF0008060/20X661016;60/2 ELAS RIT PA 66 - SABBIA 03;KG;14,6800000667572;154,15
CIOCCA SPA;PF0008060/20X661019;60/2 ELAS RIT PA 66 - AZZURRO 771;KG;14,9200000762939;156,67
CIOCCA SPA;PF0008060/20X661022;60/2 ELAS RIT PA 66 - NATURALE 301;KG;10,5900001525879;111,2
CIOCCA SPA;PF0008060/20X661024;60/2 ELAS RIT PA 66 - BIANCO 02;KG;234,450001180172;2461,81
CIOCCA SPA;PF0008060/20X661027;60/2 ELAS RIT PA 66 - CACAO 15;KG;15,7799997329712;165,69
CIOCCA SPA;PF0008060/20X661030;60/2 ELAS RIT PA 66 - AVIO 778;KG;15,25;160,13
CIOCCA SPA;PF0008060/20X661033;60/2 ELAS RIT PA 66 - BEIGE 14;KG;15,2700004577637;160,34
CIOCCA SPA;PF0008060/30X660001;60/3 ELAS RIT PA 66 - GREGGIO;KG;124,829999685287;1273,27
