nome_cliente_17;codice_articolo_17;articolo_colore_17;unita_di_misura_17;quantita_17;imponibile_17
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X661000;40/2 ELAS RIT PA 66 - MORO 81;KG;51,559999704361;678,02
CIOCCA SPA;PF0008040/20X661001;40/2 ELAS RIT PA 66 - NERO 20;KG;742,549998521805;9741,11
CIOCCA SPA;PF0008040/20X661002;40/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;644,479999780655;8474,9
CIOCCA SPA;PF0008040/20X661003;40/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;86,7199990153313;1135,61
CIOCCA SPA;PF0008040/20X661004;40/2 ELAS RIT PA 66 - ANTRACITE 89;KG;208,060002565384;2727,63
CIOCCA SPA;PF0008040/20X661005;40/2 ELAS RIT PA 66 - BORDO' 58;KG;54,4300005435944;715,76
CIOCCA SPA;PF0008040/20X661006;40/2 ELAS RIT PA 66 - INDACO 728;KG;14,9600002765656;196,72
CIOCCA SPA;PF0008040/20X661007;40/2 ELAS RIT PA 66 - BLU NAVY 77;KG;16,3800001144409;215,39
CIOCCA SPA;PF0008040/20X661008;40/2 ELAS RIT PA 66 - CORDA 06;KG;17,0799999237061;224,6
CIOCCA SPA;PF0008040/20X661009;40/2 ELAS RIT PA 66 - ARGENTO 36;KG;28,289999961853;372,01
CIOCCA SPA;PF0008040/20X661016;40/2 ELAS RIT PA 66 - SABBIA 03;KG;151,970000982285;1998,39
CIOCCA SPA;PF0008040/20X661023;40/2 ELAS RIT PA 66 - AVIO 712;KG;16,9400000572205;222,76
CIOCCA SPA;PF0008040/20X661026;40/2 ELAS RIT PA 66 - BEIGE 111;KG;14,07000041008;185,02
CIOCCA SPA;PF0008040/20X661031;40/2 ELAS RIT PA 66 - GHISA 87;KG;17,3300004005432;227,89
CIOCCA SPA;PF0008040/20X661033;40/2 ELAS RIT PA 66 - BEIGE 14;KG;16,289999961853;214,21
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;293,759996175766;2629,15
CIOCCA SPA;PF0008060/20X661000;60/2 ELAS RIT PA 66 - MORO 81;KG;60,1799991130829;651,59
