nome_cliente_25;codice_articolo_25;articolo_colore_25;unita_di_misura_25;quantita_25;imponibile_25
BATTAGLIO Cav. NORBERTO;;;;;
BATTAGLIO Cav. NORBERTO;PF0004070/20IP61002;70/2 ELAS INT. PA 6 - GREGGIO;KG;480,150003671646;2064,65
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1000;70/2 ELAS RIT FLEXY PA 6 - NERO GS005;KG;53,4599999189377;495,19
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1003;70/2 ELAS RIT FLEXY PA 6 - BS266;KG;128,860000133514;1166,15
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1004;70/2 ELAS RIT FLEXY PA 6 - NERO IMPORT;KG;96,8800001144409;775,04
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1005;70/2 ELAS RIT FLEXY PA 6 - BIANCO IMPORT;KG;95,5800008773804;764,64
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1006;70/2 ELAS RIT FLEXY PA 6 - E 9 NEBBIA;KG;19,5299997329712;175,77
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1007;70/2 ELAS RIT FLEXY PA 6 - E 62 PIRITE;KG;19,6400003433228;176,76
BATTAGLIO Cav. NORBERTO;PR00040019;;;0;0
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;87,960000038147;1055,52
CIOCCA SPA;PF0008040/20XEX1000;40/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;36,400000333786;564,21
CIOCCA SPA;PF0008040/20XEX1001;40/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;94,5800004601479;1466,02
CIOCCA SPA;PF0008040/20XEX1008;40/2 ELAS RIT FLEXI PA 66 - CORDA 06;KG;37,1499996185303;575,84
CIOCCA SPA;PF0008040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;37,8600006103516;586,84
CIOCCA SPA;PF0008060/20XEX1001;60/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;86,7399988174438;1257,75
CIOCCA SPA;PF0008060/20XEX1002;60/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;183,460000038147;2660,23
CIOCCA SPA;PF0008060/20XEX1003;60/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;34,1799993515015;495,62
CIOCCA SPA;PF0008060/20XEX1005;60/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;34,9999995231628;507,51
CIOCCA SPA;PF0008060/20XEX1007;60/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;71,900000333786;1042,57
CIOCCA SPA;PF0008060/20XEX1024;60/2 ELAS RIT FLEXI PA 66 - BIANCO 02;KG;38,5;558,26
CIOCCA SPA;PF0008060/30IEX1001;60/3 ELAS INTER. FLEXI PA 66 - NERO 20;KG;34,8800001144409;592,96
CIOCCA SPA;PF0008060/30IEX1024;60/3 ELAS INTER. FLEXI PA 66 - BIANCO 02;KG;39,4800004959106;671,16
CIOCCA SPA;PF000844/340XTC1011;44/34/2 ELAS RIT TACTEL - BLU NOTTE 85;KG;56,039999961853;1053,56
CIOCCA SPA;PF000844/340XTC1012;44/34/2 ELAS RIT TACTEL - ANTRACITE 89;KG;46,1799991130829;868,18
CIOCCA SPA;PF000844/340XTC1037;44/34/2 ELAS RIT TACTEL - GREGGIO;KG;39,6099996566772;576,33
DUBLO SRL;;;KG;186,899997711182;-3915,9
DUBLO SRL;;;NR;;854
DUBLO SRL;;;;0;0
DUBLO SRL;PF001167/200K661000;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - MARRONE 090;KG;78,4899997711182;1844,52
DUBLO SRL;PF001167/200K661001;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BLEU 051;KG;302,789999961853;7115,64
DUBLO SRL;PF001167/200K661002;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - NERO 002;KG;278,509999275208;6049,85
DUBLO SRL;PF001167/200K661003;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - ANTRACITE 082;KG;83,3699998855591;1959,2
DUBLO SRL;PF001167/200K661006;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BIANCO 001;KG;83,8500003814697;1970,49
DUBLO SRL;PF001167/200K661009;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BLU CHIARO 056;KG;99,0799999237061;2328,4
DUBLO SRL;PF001167/200K661016;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - GREGGIO;KG;111,490000724792;1783,84
DUBLO SRL;PF001167/200K661020;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - ARANCIO 141;KG;37,8600010871887;889,72
DUBLO SRL;PF001167/200K661029;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - GRIGIO 086;KG;654,059998512268;13735,26
DUBLO SRL;PR00110010;;;0;691,81
FACI di Falzoni Luigi & C. SNC;;;;;
FACI di Falzoni Luigi & C. SNC;PF0026040/20XFL1010;40/2 ELAS RIT FLEXY PA 6 - BIANCO;KG;411,339998006821;5347,42
FACI di Falzoni Luigi & C. SNC;PF0026040/20XP61029;40/2 ELAS RIT PA 6 - GREGGIO;KG;192,459999084473;1347,22
GLORIA MED SPA;;;;;
GLORIA MED SPA;PF0029030/10AEX1015;30/1 ELAS APE FLEXI PA 66 - BEIGE 34;KG;41,5900001525879;914,98
GLORIA MED SPA;PF0029030/20XEX1015;30/2 ELAS RIT FLEXI PA 66 - BEIGE 34;KG;40,0799992084503;921,84
GLORIA MED SPA;PF0029033200A661015;33/20/1 ELAS APE FLEXY PA 66 - BEIGE 34;KG;204,710000514984;4503,62
GLORIA MED SPA;PF0029040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - GREGGIO TINTO;KG;28,3099994659424;467,12
GLORIA MED SPA;PF0029070/20XEX1005;70/2 ELAS RIT FLEXI PA 66 - CANDIDO;KG;18,6700000762939;280,05
GLORIA MED SPA;PF0029100/20XEX1015;100/2 ELAS RIT FLEXI PA 66 - BEIGE 34;KG;50,3800001144409;755,7
GLORIA MED SPA;PR00290019;;;0;37,34
IN LINE DI SMUSSI CHRISTIAN & C. S.N.C.;;;;;
IN LINE DI SMUSSI CHRISTIAN & C. S.N.C.;PF003178SQS0I661000;78/68/2 QSKIN INT. PA 66 - NERO;KG;9,35999965667725;145,08
IN LINE DI SMUSSI CHRISTIAN & C. S.N.C.;PF003178SQS0I661005;78/68/2 QSKIN INT. PA 66 - NERO A CAMPIONE;KG;11,0100002288818;170,66
MICO SPORT SPA;;;KG;164,250003814697;-2701,64
MICO SPORT SPA;;;;0;0
MICO SPORT SPA;PF0034040/10A661006;40/1 ELAS APE PA 66 - FUMO 107;KG;164,999999046326;2805
MICO SPORT SPA;PF0034040/10A661009;40/1 ELAS APE PA 66 - CANDIDO;KG;49,7099990844727;845,07
MICO SPORT SPA;PF0034040/10A661020;40/1 ELAS APE PA 66 - GRIGIO PELTRO;KG;29,9199991226196;508,64
MICO SPORT SPA;PF0034040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - BLU UNIVERSO;KG;37,7400007247925;630,26
MICO SPORT SPA;PF0034040/20XEX1022;40/2 ELAS RIT FLEXI PA 66 - GRIGIO CAMP;KG;74,4399995803833;1243,13
MICO SPORT SPA;PF0034040/20XEX1033;40/2 ELAS RIT FLEXI PA 66 - VERDE ARMY;KG;37,1300005912781;620,08
MICO SPORT SPA;PF0034040/20XEX1044;40/2 ELAS RIT FLEXI PA 66 - GIALLO FLUO;KG;73,6799986362457;1230,46
MICO SPORT SPA;PF0034040/20XEX1081;40/2 ELAS RIT FLEXI PA 66 - GARDENIA 13;KG;35,6899995803833;596,03
MICO SPORT SPA;PF0034040/20XEX1093;40/2 ELAS RIT FLEXI PA 66 - FUXIA 15;KG;37,2199993133545;621,56
MICO SPORT SPA;PF0034040/20XEX1107;40/2 ELAS RIT FLEXI PA 66 - BLUETTE 9086;KG;30,4599990844727;508,69
MICO SPORT SPA;PF0034040/20XEX1139;40/2 ELAS RIT FLEXI PA 66 - VERDE MILITARE 356 DRYARN;KG;18,6799998283386;311,95
MICO SPORT SPA;PF0034040/20XEX1146;40/2 ELAS RIT FLEXI PA 66 - ACQUAMARINA 23405;KG;7,1399998664856;119,24
MICO SPORT SPA;PF0034070/20XEX1006;70/2 ELAS RIT FLEXI PA 66 - FUMO 107;KG;73,7900004386902;1099,49
MICO SPORT SPA;PF0034070/20XEX1015;70/2 ELAS RIT FLEXI PA 66 - GRIGIO M;KG;73,0500013828278;1088,44
MICO SPORT SPA;PF0034070/20XEX1020;70/2 ELAS RIT FLEXI PA 66 - GRIGIO PELTRO;KG;37,6700000762939;561,29
MICO SPORT SPA;PF0034070/20XEX1033;70/2 ELAS RIT FLEXI PA 66 - VERDE ARMY;KG;75,8600006103516;1130,31
MICO SPORT SPA;PF0034070/20XEX1034;70/2 ELAS RIT FLEXI PA 66 - AZZURRO 05;KG;37,0600004196167;552,19
MICO SPORT SPA;PF0034070/20XEX1044;70/2 ELAS RIT FLEXI PA 66 - GIALLO FLUO;KG;102,080000162125;1521,01
MICO SPORT SPA;PF0034070/20XEX1081;70/2 ELAS RIT FLEXI PA 66 - GARDENIA 13;KG;178,139998912811;2654,3
