nome_cliente_10;codice_articolo_10;articolo_colore_10;unita_di_misura_10;quantita_10;imponibile_10
ARCOS SRL UNIPERSONALE;;;kg;202,860000610352;-1562,02
ARCOS SRL UNIPERSONALE;;;NR;100;-201,2
ARCOS SRL UNIPERSONALE;;;;;
ARCOS SRL UNIPERSONALE;PF0003070/20X661000;70/2 ELAS RIT PA 66 - GRIGIO 818;KG;170,130000829697;1439,3
ARCOS SRL UNIPERSONALE;PF0003070/20X661001;70/2 ELAS RIT PA 66 - GRIGIO 981/A;KG;135,5;1162,95
ARCOS SRL UNIPERSONALE;PF0003070/20X661002;70/2 ELAS RIT PA 66 - GRIGIO 801/B;KG;59,2600011825562;501,34
ARCOS SRL UNIPERSONALE;PF0003070/20X661003;70/2 ELAS RIT PA 66 - GRIGIO 422/C;KG;150,560000896454;1310,57
ARCOS SRL UNIPERSONALE;PF0003070/20X661004;70/2 ELAS RIT PA 66 - ARANCIO 208;KG;128,250000238419;1084,99
ARCOS SRL UNIPERSONALE;PF0003070/20X661005;70/2 ELAS RIT PA 66 - BEIGE 336;KG;58;490,67
ARCOS SRL UNIPERSONALE;PF0003070/20X661006;70/2 ELAS RIT PA 66 - FUXIA 340;KG;104,25;898,83
ARCOS SRL UNIPERSONALE;PF0003070/20X661007;70/2 ELAS RIT PA 66 - PETROLIO 4007;KG;61,5999991893768;521,13
ARCOS SRL UNIPERSONALE;PF0003070/20X661008;70/2 ELAS RIT PA 66 - ROSSO 355;KG;210,800000667572;1783,36
ARCOS SRL UNIPERSONALE;PF0003070/20X661009;70/2 ELAS RIT PA 66 - BLU 636;KG;205,909999847412;1742,01
ARCOS SRL UNIPERSONALE;PF0003070/20X661010;70/2 ELAS RIT PA 66 - ROYAL 600;KG;207,470001220703;1755,21
ARCOS SRL UNIPERSONALE;PF0003070/20X661011;70/2 ELAS RIT PA 66 - NERO 999;KG;1131,42999982834;9857,86
ARCOS SRL UNIPERSONALE;PF0003070/20X661012;70/2 ELAS RIT PA 66 - GIALLO 123;KG;85,1699995994568;720,54
ARCOS SRL UNIPERSONALE;PF0003070/20X661013;70/2 ELAS RIT PA 66 - CANDIDO;KG;351,539999008179;2974,04
ARCOS SRL UNIPERSONALE;PF0003070/20X661014;70/2 ELAS RIT PA 66 - VINACCIA 331;KG;34,2499995231628;289,75
ARCOS SRL UNIPERSONALE;PF0003070/20X661015;70/2 ELAS RIT PA 66 - VERDE 456;KG;34,4400000572205;291,36
ARCOS SRL UNIPERSONALE;PF0003070/20X661017;70/2 ELAS RIT PA 66 - VERDE 459/B;KG;46,5599994659424;393,9
ARCOS SRL UNIPERSONALE;PF0003070/20X661018;70/2 ELAS RIT PA 66 - CELESTE 500;KG;81,460000038147;705
ARCOS SRL UNIPERSONALE;PF0003070/20X661019;70/2 ELAS RIT PA 66 - VIOLA 701;KG;35,0400004386902;296,45
ARCOS SRL UNIPERSONALE;PF0003070/20X661020;70/2 ELAS RIT PA 66 - GRIGIO 807;KG;65,6800012588501;555,65
ARCOS SRL UNIPERSONALE;PF0003070/20X661021;70/2 ELAS RIT PA 66 - MATTONE 335;KG;66,8699998855591;565,73
ARCOS SRL UNIPERSONALE;PF0003070/20X661022;70/2 ELAS RIT PA 66 - VERDE 409;KG;109,66999912262;944,62
ARCOS SRL UNIPERSONALE;PF0003070/20X661023;70/2 ELAS RIT PA 66 - GRIGIO 803;KG;61,1100006103516;516,99
ARCOS SRL UNIPERSONALE;PF0003070/20X661024;70/2 ELAS RIT PA 66 - GRIGIO 819;KG;186,509999632835;1602,62
ARCOS SRL UNIPERSONALE;PF0003070/20X661025;70/2 ELAS RIT PA 66 - VERDE 461;KG;44,1699998378754;373,68
ARCOS SRL UNIPERSONALE;PF0003070/20X661026;70/2 ELAS RIT PA 66 - BORDO' 338;KG;44,2699999809265;374,52
ARCOS SRL UNIPERSONALE;PF0003070/20X661027;70/2 ELAS RIT PA 66 - ARANCIO 351;KG;44,840000629425;379,34
