nome_cliente_23;codice_articolo_23;articolo_colore_23;unita_di_misura_23;quantita_23;imponibile_23
BATTAGLIO Cav. NORBERTO;;;;;
BATTAGLIO Cav. NORBERTO;PF0004070/20IP61002;70/2 ELAS INT. PA 6 - GREGGIO;KG;370,759998321533;1668,46
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1000;70/2 ELAS RIT FLEXY PA 6 - NERO GS005;KG;14,3400001525879;146,27
BATTAGLIO Cav. NORBERTO;PF0004070/20XFL1001;70/2 ELAS RIT FLEXY PA 6 - BLU SCURO BS239;KG;19,9100003242493;203,08
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;49,7099995613098;611,43
CIOCCA SPA;PF0008040/20XEX1001;40/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;291,549997329712;4794,7
CIOCCA SPA;PF0008040/20XEX1002;40/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;429,969998836517;7096,15
CIOCCA SPA;PF0008040/20XEX1003;40/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;40,1199989318848;641,92
CIOCCA SPA;PF0008040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;117,10000038147;1912,21
CIOCCA SPA;PF0008040/20XEX1005;40/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;37,8199996948242;605,12
CIOCCA SPA;PF0008040/20XEX1008;40/2 ELAS RIT FLEXI PA 66 - CORDA 06;KG;79,4300003051758;1350,31
CIOCCA SPA;PF0008040/20XEX1009;40/2 ELAS RIT FLEXI PA 66 - ARGENTO 36;KG;43,3299999237061;693,28
CIOCCA SPA;PF0008040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;40,6300001144409;650,08
CIOCCA SPA;PF0008040/20XEX1023;40/2 ELAS RIT FLEXI PA 66 - AVIO 712;KG;45,3900001049042;726,24
CIOCCA SPA;PF0008040/20XEX1030;40/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;39,349999666214;629,6
CIOCCA SPA;PF0008060/20X661037;60/2 ELAS RIT PA 66 - GREGGIO;KG;325,840001344681;3706,37
CIOCCA SPA;PF0008060/20XEX1001;60/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;397,650001764297;6033,88
CIOCCA SPA;PF0008060/20XEX1002;60/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;318,569999694824;4897,29
CIOCCA SPA;PF0008060/20XEX1004;60/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;38,0499997138977;570,75
CIOCCA SPA;PF0008060/20XEX1007;60/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;165,040001630783;2534,65
CIOCCA SPA;PF0008060/20XEX1016;60/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;39,8900003433228;618,3
CIOCCA SPA;PF0008060/20XEX1023;60/2 ELAS RIT FLEXI PA 66 - AVIO 712;KG;33,159999370575;497,4
CIOCCA SPA;PF0008060/20XEX1024;60/2 ELAS RIT FLEXI PA 66 - BIANCO 02;KG;37,2900004386902;559,35
CIOCCA SPA;PF0008060/20XEX1025;60/2 ELAS RIT FLEXI PA 66 - SALVIA 43;KG;38,9099998474121;583,65
CIOCCA SPA;PF0008060/20XEX1030;60/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;118,870000839233;1822,11
CIOCCA SPA;PF0008060/20XEX1033;60/2 ELAS RIT FLEXI PA 66 - BEIGE 14;KG;40,4499998092651;606,75
CIOCCA SPA;PF0008060/30IEX1001;60/3 ELAS INTER. FLEXI PA 66 - NERO 20;KG;80,7999997138977;1414,41
CIOCCA SPA;PF000844/340XTC1009;44/34/2 ELAS RIT TACTEL - ARGENTO 36;KG;39,8500003814697;749,18
