nome_cliente_21;codice_articolo_21;articolo_colore_21;unita_di_misura_21;quantita_21;imponibile_21
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;159,799999713898;1445,69
CIOCCA SPA;PF0008040/20XEX1000;40/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;77,0099992752075;1020,53
CIOCCA SPA;PF0008040/20XEX1001;40/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;591,600000023842;7850,45
CIOCCA SPA;PF0008040/20XEX1002;40/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;676,159999847412;9028,33
CIOCCA SPA;PF0008040/20XEX1003;40/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;114,619999408722;1523,19
CIOCCA SPA;PF0008040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;152,250000357628;2025,77
CIOCCA SPA;PF0008040/20XEX1005;40/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;71,1299993395805;942,93
CIOCCA SPA;PF0008040/20XEX1007;40/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;31,0100002288818;413,98
CIOCCA SPA;PF0008040/20XEX1008;40/2 ELAS RIT FLEXI PA 66 - CORDA 06;KG;120,979999303818;1615,09
CIOCCA SPA;PF0008040/20XEX1009;40/2 ELAS RIT FLEXI PA 66 - ARGENTO 36;KG;76,7199997901917;1047,03
CIOCCA SPA;PF0008040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;41,710000038147;556,83
CIOCCA SPA;PF0008040/20XEX1023;40/2 ELAS RIT FLEXI PA 66 - AVIO 712;KG;33,3500003814697;438,54
CIOCCA SPA;PF0008040/20XEX1033;40/2 ELAS RIT FLEXI PA 66 - BEIGE 14;KG;32,9499998092651;433,3
CIOCCA SPA;PF0008040/20XEX1041;40/2 ELAS RIT FLEXI PA 66 - BEIGE 605;KG;33,9300003051758;446,18
CIOCCA SPA;PF0008060/20X661037;60/2 ELAS RIT PA 66 - GREGGIO;KG;377,650001049042;2963,48
CIOCCA SPA;PF0008060/20XEX1001;60/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;489,430003166199;5481,11
CIOCCA SPA;PF0008060/20XEX1002;60/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;345,670001268387;3815,51
CIOCCA SPA;PF0008060/20XEX1003;60/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;42,6999995708466;473,97
CIOCCA SPA;PF0008060/20XEX1004;60/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;40,3700004220009;448,1
CIOCCA SPA;PF0008060/20XEX1005;60/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;41,710000038147;462,98
CIOCCA SPA;PF0008060/20XEX1007;60/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;39,5799999237061;439,34
CIOCCA SPA;PF0008060/20XEX1008;60/2 ELAS RIT FLEXI PA 66 - CORDA 06;KG;81,2799997329712;927,14
CIOCCA SPA;PF0008060/20XEX1009;60/2 ELAS RIT FLEXI PA 66 - ARGENTO 36;KG;40,5899991989136;450,55
CIOCCA SPA;PF0008060/20XEX1024;60/2 ELAS RIT FLEXI PA 66 - BIANCO 02;KG;268,370000362396;2965,85
CIOCCA SPA;PF0008060/20XEX1030;60/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;40,5299997329712;449,88
CIOCCA SPA;PF0008060/30IEX1001;60/3 ELAS INTER. FLEXI PA 66 - NERO 20;KG;122,270000934601;1403,46
CIOCCA SPA;PF0008060/30IEX1004;60/3 ELAS INTER. FLEXI PA 66 - ANTRACITE 89;KG;40,9800000190735;473,31
CIOCCA SPA;PF0008060/30IEX1024;60/3 ELAS INTER. FLEXI PA 66 - BIANCO 02;KG;42;485,11
CIOCCA SPA;PF000844/340XTC1010;44/34/2 ELAS RIT TACTEL - NERO 20;KG;77,9500000476837;1197,25
