nome_cliente_24;codice_articolo_24;articolo_colore_24;unita_di_misura_24;quantita_24;imponibile_24
BATTAGLIO Cav. NORBERTO;;;;;
BATTAGLIO Cav. NORBERTO;PF0004070/20IP61002;70/2 ELAS INT. PA 6 - GREGGIO;KG;391,190008163452;1760,38
BATTAGLIO Cav. NORBERTO;PF0327070/20IP61279;70/2 ELAS INT. PA 6 - GREGGIO;KG;42;189
CIOCCA SPA;;;KG;30,3899993896484;-455,85
CIOCCA SPA;;;;0;0
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;121,639999389648;1459,68
CIOCCA SPA;PF0008040/20XEX1002;40/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;102,969999313354;1596,05
CIOCCA SPA;PF0008040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;41,4999995231628;643,27
CIOCCA SPA;PF0008040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;37,6999998092651;584,36
CIOCCA SPA;PF0008060/20X661037;60/2 ELAS RIT PA 66 - GREGGIO;KG;36,5900001525879;402,49
CIOCCA SPA;PF0008060/20XEX1000;60/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;41,8199996948242;606,4
CIOCCA SPA;PF0008060/20XEX1001;60/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;520,500000476837;7547,39
CIOCCA SPA;PF0008060/20XEX1002;60/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;206,060001552105;2987,92
CIOCCA SPA;PF0008060/20XEX1004;60/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;43,0699993371964;624,52
CIOCCA SPA;PF0008060/20XEX1006;60/2 ELAS RIT FLEXI PA 66 - INDACO 728;KG;40,0300006866455;580,44
CIOCCA SPA;PF0008060/20XEX1007;60/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;82,3800001144409;1194,53
CIOCCA SPA;PF0008060/20XEX1022;60/2 ELAS RIT FLEXI PA 66 - NATURALE 301;KG;38,9300007820129;564,5
CIOCCA SPA;PF0008060/20XEX1023;60/2 ELAS RIT FLEXI PA 66 - AVIO 712;KG;39,5900001525879;574,07
CIOCCA SPA;PF0008060/20XEX1030;60/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;148,110000133514;2147,64
CIOCCA SPA;PF0008060/30IEX1001;60/3 ELAS INTER. FLEXI PA 66 - NERO 20;KG;33,5599999427795;570,52
CIOCCA SPA;PF0008060/30IEX1002;60/3 ELAS INTER. FLEXI PA 66 - BLU NOTTE 85;KG;41,590000629425;707,03
CIOCCA SPA;PF0008060/30IEX1024;60/3 ELAS INTER. FLEXI PA 66 - BIANCO 02;KG;39,9799995422363;679,66
CIOCCA SPA;PF000844/340XTC1010;44/34/2 ELAS RIT TACTEL - NERO 20;KG;87,9799995422363;1654,02
CIOCCA SPA;PF000844/340XTC1011;44/34/2 ELAS RIT TACTEL - BLU NOTTE 85;KG;41,7400002479553;784,71
DUBLO SRL;;;;;
DUBLO SRL;PF001167/200K661001;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BLEU 051;KG;345,85000038147;8127,53
DUBLO SRL;PF001167/200K661016;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - GREGGIO;KG;270,980000495911;4335,68
DUBLO SRL;PF001167/200K661018;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - CELESTE 052;KG;44,289999961853;1040,82
DUBLO SRL;PF001167/200K661029;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - GRIGIO 086;KG;1567,49000096321;32917,29
DUBLO SRL;PR00110010;;;0;891,45
FACI di Falzoni Luigi & C. SNC;;;;;
FACI di Falzoni Luigi & C. SNC;PF0026040/20XFL1010;40/2 ELAS RIT FLEXY PA 6 - BIANCO;KG;279,599997520447;3634,8
FACI di Falzoni Luigi & C. SNC;PF0026LUC700XP61000;70 LUCIDO RIT PA 6 - CANDIDO;KG;170,880000591278;4015,7
GLORIA MED SPA;;;;;
GLORIA MED SPA;PF0029033200A661015;33/20/1 ELAS APE FLEXY PA 66 - BEIGE 34;KG;313,740000188351;6902,28
GLORIA MED SPA;PF0029060/20XEX1015;60/2 ELAS RIT FLEXI PA 66 - BEIGE 34;KG;40,0199997425079;640,32
GLORIA MED SPA;PF0029070/20XEX1015;70/2 ELAS RIT FLEXI PA 66 - BEIGE 34;KG;36,460000038147;546,9
GLORIA MED SPA;PF0029202010A6M1015;20/20/1 ELAS APE PA 66 MICRO - BEIGE 34;KG;1,03999996185303;29,12
GLORIA MED SPA;PF0029333410A661015;33/34/1 APE FLEXY PA 66 - BEIGE 34;KG;0,639999985694885;15,36
MICO SPORT SPA;;;KG;162,670000463724;-2494,5
MICO SPORT SPA;;;;0;0
