codice_articolo;kg;data_ordine;data_etichetta;giorni;Unnamed: 6
PF0118040/10A66;80;29/05/2025;03/06/2025;5;
PF0034040/10A66;76;05/06/2025;17/06/2025;12;
PF0507040/10A66;24;17/06/2025;27/06/2025;10;
PF0507040/10A66;12;03/07/2025;17/07/2025;14;
PF0714040/10AFG;20;19/06/2023;04/07/2023;15;
PF0714040/10AFG;20;19/06/2023;04/07/2023;15;
PF0714040/10AFG;20;19/06/2023;04/07/2023;15;
PF0714040/10AFG;100;19/06/2023;05/07/2023;16;
PF0714040/10AFG;100;19/06/2023;05/07/2023;16;
PF0714040/10AFG;100;19/06/2023;06/07/2023;17;
PF0714040/10AFG;100;19/06/2023;07/07/2023;18;
PF0714040/10AFG;20;19/06/2023;10/07/2023;21;
PF0714040/10AFG;100;19/06/2023;13/07/2023;24;
PF0714040/10AFG;45;14/11/2023;24/11/2023;10;
PF0714040/10AFG;100;14/11/2023;07/12/2023;23;
PF0714040/10AFG;45;14/11/2023;12/12/2023;28;
PF0714040/10AFG;102;14/11/2023;14/12/2023;30;
PF0714040/10AFG;120;23/01/2024;15/02/2024;23;
PF0714040/10AFG;80;23/01/2024;20/02/2024;28;
PF0714040/10AFG;100;23/01/2024;20/02/2024;28;
PF0714040/10AFG;120;23/01/2024;20/02/2024;28;
PF0714040/10AFG;120;23/01/2024;22/02/2024;30;
PF0714040/10AFG;120;23/01/2024;22/02/2024;30;
PF0714040/10AFG;120;23/01/2024;23/02/2024;31;
PF0714040/10AFG;120;23/01/2024;26/02/2024;34;
PF0714040/10AFG;83;23/01/2024;27/02/2024;35;
PF0714040/10AFG;120;23/01/2024;27/02/2024;35;
PF0714040/10AFG;60;21/02/2024;11/03/2024;19;
PF0714040/10AFG;120;21/02/2024;14/03/2024;22;
PF0714040/10AFG;120;21/02/2024;18/03/2024;26;
PF0714040/10AFG;120;23/01/2024;19/03/2024;56;
PF0714040/10AFG;120;21/02/2024;25/03/2024;33;
PF0714040/10AFG;120;21/02/2024;26/03/2024;34;
PF0714040/10AFG;175;23/01/2024;24/04/2024;92;
PF0714040/10AFG;174;23/01/2024;29/04/2024;97;
PF0714040/10AFG;175;08/04/2024;29/04/2024;21;
PF0714040/10AFG;175;08/04/2024;30/04/2024;22;
PF0714040/10AFG;31;26/03/2024;20/05/2024;55;
PF0714040/10AFG;84;26/03/2024;20/05/2024;55;
PF0714040/10AFG;176;26/03/2024;21/05/2024;56;
PF0714040/10AFG;88;21/02/2024;27/05/2024;96;
PF0714040/10AFG;170;21/02/2024;27/05/2024;96;
PF0714040/10AFG;176;26/03/2024;27/05/2024;62;
PF0714040/10AFG;30;03/05/2024;27/05/2024;24;
PF0714040/10AFG;29;06/05/2024;27/05/2024;21;
PF0714040/10AFG;174;24/05/2024;13/06/2024;20;
PF0714040/10AFG;173;03/06/2024;14/06/2024;11;
PF0714040/10AFG;168;17/06/2024;24/06/2024;7;
PF0714040/10AFG;84;24/06/2024;26/06/2024;2;
PF0714040/10AFG;30;03/05/2024;27/06/2024;55;
PF0714040/10AFG;24;03/06/2024;27/06/2024;24;
PF0714040/10AFG;86;03/06/2024;27/06/2024;24;
PF0714040/10AFG;85;06/05/2024;28/06/2024;53;
PF0714040/10AFG;146;11/07/2024;15/07/2024;4;
PF0714040/10AFG;84;11/07/2024;16/07/2024;5;
PF0714040/10AFG;168;11/07/2024;17/07/2024;6;
PF0714040/10AFG;30;03/05/2024;18/07/2024;76;
PF0714040/10AFG;172;06/05/2024;18/07/2024;73;
PF0714040/10AFG;168;11/07/2024;18/07/2024;7;
PF0714040/10AFG;176;09/07/2024;23/07/2024;14;
PF0714040/10AFG;88;17/06/2024;24/07/2024;37;
PF0714040/10AFG;64;27/05/2024;29/07/2024;63;
PF0714040/10AFG;87;09/07/2024;29/07/2024;20;
PF0714040/10AFG;176;09/07/2024;31/07/2024;22;
PF0714040/10AFG;176;09/07/2024;31/07/2024;22;
PF0714040/10AFG;86;26/08/2024;30/08/2024;4;
PF0714040/10AFG;86;26/08/2024;05/09/2024;10;
PF0714040/10AFG;177;26/08/2024;06/09/2024;11;
PF0714040/10AFG;175;16/09/2024;19/09/2024;3;
PF0714040/10AFG;180;26/08/2024;20/09/2024;25;
PF0714040/10AFG;84;25/09/2024;26/09/2024;1;
PF0714040/10AFG;70;17/09/2024;30/09/2024;13;
PF0714040/10AFG;100;17/09/2024;30/09/2024;13;
PF0714040/10AFG;86;14/10/2024;25/10/2024;11;
PF0714040/10AFG;86;14/10/2024;25/10/2024;11;
PF0714040/10AFG;86;14/10/2024;28/10/2024;14;
PF0714040/10AFG;86;14/10/2024;08/11/2024;25;
PF0714040/10AFG;90;14/10/2024;11/11/2024;28;
PF0714040/10AFG;90;24/10/2024;12/11/2024;19;
PF0714040/10AFG;90;07/11/2024;12/11/2024;5;
PF0714040/10AFG;90;24/10/2024;13/11/2024;20;
PF0714040/10AFG;90;24/10/2024;18/11/2024;25;
PF0714040/10AFG;90;25/11/2024;03/12/2024;8;
PF0714040/10AFG;12;25/11/2024;04/12/2024;9;
PF0714040/10AFG;90;21/11/2024;15/01/2025;55;
PF0714040/10AFG;90;21/11/2024;15/01/2025;55;
PF0714040/10AFG;90;21/11/2024;20/01/2025;60;
PF0714040/10AFG;90;21/11/2024;20/01/2025;60;
PF0714040/10AFG;90;21/11/2024;21/01/2025;61;
PF0714040/10AFG;90;21/11/2024;22/01/2025;62;
PF0714040/10AFG;50;24/10/2024;23/01/2025;91;
PF0714040/10AFG;90;19/12/2024;23/01/2025;35;
PF0714040/10AFG;90;19/12/2024;24/01/2025;36;
PF0714040/10AFG;90;19/12/2024;27/01/2025;39;
PF0714040/10AFG;90;19/12/2024;29/01/2025;41;
PF0714040/10AFG;90;19/12/2024;29/01/2025;41;
PF0714040/10AFG;90;19/12/2024;07/02/2025;50;
PF0714040/10AFG;90;19/12/2024;12/02/2025;55;
PF0714040/10AFG;90;19/12/2024;13/02/2025;56;
PF0714040/10AFG;90;19/12/2024;14/02/2025;57;
PF0714040/10AFG;100;19/12/2024;14/02/2025;57;
PF0714040/10AFG;90;19/12/2024;17/02/2025;60;
PF0714040/10AFG;90;19/12/2024;17/02/2025;60;
PF0714040/10AFG;90;19/12/2024;25/02/2025;68;
PF0714040/10AFG;180;08/01/2025;28/02/2025;51;
PF0714040/10AFG;90;10/02/2025;04/03/2025;22;
PF0714040/10AFG;90;10/02/2025;07/03/2025;25;
PF0714040/10AFG;90;10/02/2025;07/03/2025;25;
PF0714040/10AFG;90;10/02/2025;19/03/2025;37;
PF0714040/10AFG;90;10/02/2025;31/03/2025;49;
PF0714040/10AFG;90;10/02/2025;31/03/2025;49;
PF0714040/10AFG;90;10/02/2025;02/04/2025;51;
PF0714040/10AFG;90;10/02/2025;02/04/2025;51;
PF0714040/10AFG;90;10/02/2025;03/04/2025;52;
PF0714040/10AFG;188;17/07/2025;29/07/2025;12;
PF0489040/10AP6;103;21/03/2023;31/03/2023;10;
PF0489040/10AP6;113;31/03/2023;21/04/2023;21;
PF0489040/10AP6;61;05/06/2023;13/06/2023;8;
PF0489040/10AP6;61;19/06/2023;23/06/2023;4;
PF0489040/10AP6;60;28/06/2023;10/07/2023;12;
PF0489040/10AP6;115;28/06/2023;11/07/2023;13;
PF0489040/10AP6;115;13/09/2023;29/09/2023;16;
PF0489040/10AP6;60;28/09/2023;06/10/2023;8;
PF0489040/10AP6;57;22/11/2023;27/11/2023;5;
PF0489040/10AP6;60;20/12/2023;15/01/2024;26;
PF0489040/10AP6;68;12/12/2023;16/01/2024;35;
PF0489040/10AP6;60;20/12/2023;16/01/2024;27;
PF0489040/10AP6;68;20/12/2023;17/01/2024;28;
PF0489040/10AP6;25;28/02/2024;29/02/2024;1;
PF0489040/10AP6;108;22/03/2024;02/04/2024;11;
PF0489040/10AP6;106;25/03/2024;10/04/2024;16;
