codice_articolo;kg;data_ordine;data_etichetta;giorni;Unnamed: 6
PF0496070/10AP6;17;21/11/2023;28/11/2023;7;
PF0496070/10AP6;17;21/11/2023;29/11/2023;8;
PF0496070/10AP6;17;21/11/2023;29/11/2023;8;
PF0496070/10AP6;17;21/11/2023;29/11/2023;8;
PF0388070/10AP6;45;23/11/2023;29/11/2023;6;
PF0706070/10AP6;126;24/11/2023;30/11/2023;6;
PF0685070/10AP6;95;27/11/2023;07/12/2023;10;
PF0496070/10AP6;18;01/12/2023;07/12/2023;6;
PF0489070/10AP6;52;12/12/2023;10/01/2024;29;
PF0489070/10AP6;50;12/12/2023;12/01/2024;31;
PF0489070/10AP6;50;12/12/2023;12/01/2024;31;
PF0489070/10AP6;50;12/12/2023;12/01/2024;31;
PF0489070/10AP6;97;12/12/2023;15/01/2024;34;
PF0489070/10AP6;184;17/01/2024;31/01/2024;14;
PF0327070/10AP6;108;15/01/2024;01/02/2024;17;
PF0496070/10AP6;11;22/01/2024;01/02/2024;10;
PF0496070/10AP6;11;22/01/2024;01/02/2024;10;
PF0496070/10AP6;12;22/01/2024;01/02/2024;10;
PF0496070/10AP6;11;22/01/2024;05/02/2024;14;
PF0496070/10AP6;12;22/01/2024;05/02/2024;14;
PF0496070/10AP6;12;22/01/2024;05/02/2024;14;
PF0496070/10AP6;12;22/01/2024;06/02/2024;15;
PF0496070/10AP6;12;22/01/2024;07/02/2024;16;
PF0496070/10AP6;12;22/01/2024;07/02/2024;16;
PF0489070/10AP6;20;30/01/2024;07/02/2024;8;
PF0489070/10AP6;52;30/01/2024;07/02/2024;8;
PF0489070/10AP6;52;02/02/2024;07/02/2024;5;
PF0327070/10AP6;109;06/02/2024;14/02/2024;8;
PF0489070/10AP6;99;05/02/2024;15/02/2024;10;
PF0489070/10AP6;50;27/02/2024;29/02/2024;2;
PF0327070/10AP6;112;23/02/2024;04/03/2024;10;
PF0489070/10AP6;50;28/02/2024;04/03/2024;5;
PF0489070/10AP6;50;28/02/2024;04/03/2024;5;
PF0489070/10AP6;50;28/02/2024;05/03/2024;6;
PF0489070/10AP6;50;28/02/2024;07/03/2024;8;
PF0685070/10AP6;50;07/03/2024;15/03/2024;8;
PF0489070/10AP6;112;18/03/2024;20/03/2024;2;
PF0489070/10AP6;46;18/03/2024;22/03/2024;4;
PF0489070/10AP6;112;18/03/2024;25/03/2024;7;
PF0489070/10AP6;58;18/03/2024;27/03/2024;9;
PF0489070/10AP6;112;18/03/2024;27/03/2024;9;
PF0327070/10AP6;125;14/03/2024;29/03/2024;15;
PF0496070/10AP6;11;26/03/2024;08/04/2024;13;
PF0496070/10AP6;11;26/03/2024;08/04/2024;13;
PF0496070/10AP6;11;26/03/2024;08/04/2024;13;
PF0496070/10AP6;11;26/03/2024;08/04/2024;13;
PF0685070/10AP6;58;03/04/2024;09/04/2024;6;
PF0489070/10AP6;58;28/03/2024;11/04/2024;14;
PF0489070/10AP6;58;28/03/2024;11/04/2024;14;
PF0327070/10AP6;100;15/04/2024;18/04/2024;3;
PF0489070/10AP6;112;28/03/2024;22/04/2024;25;
PF0489070/10AP6;112;28/03/2024;24/04/2024;27;
PF0489070/10AP6;58;16/04/2024;30/04/2024;14;
PF0489070/10AP6;58;22/04/2024;30/04/2024;8;
PF0334070/10AP6;30;30/04/2024;02/05/2024;2;
PF0327070/10AP6;125;03/05/2024;09/05/2024;6;
PF0489070/10AP6;23;15/05/2024;27/05/2024;12;
PF0685070/10AP6;58;24/05/2024;03/06/2024;10;
PF0489070/10AP6;58;24/05/2024;04/06/2024;11;
PF0489070/10AP6;58;24/05/2024;04/06/2024;11;
PF0489070/10AP6;58;24/05/2024;06/06/2024;13;
PF0489070/10AP6;58;24/05/2024;06/06/2024;13;
PF0489070/10AP6;58;24/05/2024;06/06/2024;13;
PF0489070/10AP6;58;24/05/2024;07/06/2024;14;
PF0489070/10AP6;58;24/05/2024;11/06/2024;18;
PF0685070/10AP6;58;21/06/2024;26/06/2024;5;
PF0489070/10AP6;112;21/06/2024;28/06/2024;7;
PF0489070/10AP6;58;21/06/2024;01/07/2024;10;
PF0489070/10AP6;58;21/06/2024;01/07/2024;10;
PF0489070/10AP6;58;21/06/2024;02/07/2024;11;
PF0489070/10AP6;58;21/06/2024;02/07/2024;11;
PF0489070/10AP6;58;21/06/2024;02/07/2024;11;
PF0496070/10AP6;111;10/07/2024;17/07/2024;7;
PF0654070/10AP6;23;25/07/2024;30/07/2024;5;
PF0489070/10AP6;58;29/08/2024;03/09/2024;5;
PF0334070/10AP6;30;27/09/2024;01/10/2024;4;
PF0489070/10AP6;57;25/09/2024;02/10/2024;7;
PF0489070/10AP6;57;25/09/2024;03/10/2024;8;
PF0327070/10AP6;20;30/09/2024;09/10/2024;9;
PF0489070/10AP6;57;23/10/2024;30/10/2024;7;
PF0489070/10AP6;57;23/10/2024;30/10/2024;7;
PF0489070/10AP6;57;23/10/2024;31/10/2024;8;
PF0489070/10AP6;57;23/10/2024;04/11/2024;12;
PF0327070/10AP6;22;08/11/2024;13/11/2024;5;
PF0327070/10AP6;22;08/11/2024;13/11/2024;5;
PF0327070/10AP6;57;11/11/2024;19/11/2024;8;
PF0327070/10AP6;57;14/11/2024;19/11/2024;5;
PF0685070/10AP6;98;14/11/2024;26/11/2024;12;
PF0129070/10AP6;70;21/11/2024;29/11/2024;8;
PF0129070/10AP6;70;21/11/2024;29/11/2024;8;
PF0327070/10AP6;112;11/12/2024;16/12/2024;5;
PF0327070/10AP6;161;16/12/2024;18/12/2024;2;
PF0489070/10AP6;52;19/12/2024;10/01/2025;22;
PF0489070/10AP6;52;19/12/2024;10/01/2025;22;
PF0489070/10AP6;52;19/12/2024;10/01/2025;22;
PF0489070/10AP6;53;19/12/2024;10/01/2025;22;
PF0489070/10AP6;53;19/12/2024;10/01/2025;22;
PF0327070/10AP6;112;17/12/2024;13/01/2025;27;
PF0489070/10AP6;52;19/12/2024;13/01/2025;25;
PF0489070/10AP6;52;19/12/2024;13/01/2025;25;
PF0489070/10AP6;52;19/12/2024;13/01/2025;25;
PF0489070/10AP6;101;19/12/2024;13/01/2025;25;
PF0489070/10AP6;52;19/12/2024;15/01/2025;27;
PFD041070/10AP6;56;23/01/2025;06/02/2025;14;
PF0489070/10AP6;53;10/02/2025;13/02/2025;3;
PF0327070/10AP6;114;13/02/2025;17/02/2025;4;
PF0489070/10AP6;101;10/02/2025;26/02/2025;16;
PF0489070/10AP6;153;07/03/2025;17/03/2025;10;
PF0489070/10AP6;54;12/03/2025;20/03/2025;8;
PF0489070/10AP6;53;18/03/2025;24/03/2025;6;
PF0489070/10AP6;53;18/03/2025;02/04/2025;15;
PF0489070/10AP6;53;25/03/2025;07/04/2025;13;
PF0489070/10AP6;52;25/03/2025;11/04/2025;17;
PF0489070/10AP6;101;25/03/2025;11/04/2025;17;
PF0654070/10AP6;41;02/04/2025;14/04/2025;12;
PF0654070/10AP6;42;02/04/2025;14/04/2025;12;
PF0654070/10AP6;43;02/04/2025;14/04/2025;12;
PF0654070/10AP6;170;02/04/2025;15/04/2025;13;
PF0654070/10AP6;19;03/04/2025;17/04/2025;14;
PF0489070/10AP6;52;25/03/2025;28/04/2025;34;
PF0489070/10AP6;52;23/04/2025;29/04/2025;6;
PF0489070/10AP6;104;23/04/2025;29/04/2025;6;
PF0489070/10AP6;54;23/04/2025;06/05/2025;13;
PF0489070/10AP6;101;28/04/2025;12/05/2025;14;
PF0685070/10AP6;53;07/05/2025;13/05/2025;6;
PF0654070/10AP6;22;14/05/2025;16/05/2025;2;
PF0489070/10AP6;154;14/05/2025;19/05/2025;5;
PF0489070/10AP6;53;06/05/2025;26/05/2025;20;
PF0654070/10AP6;22;16/05/2025;26/05/2025;10;
PF0327070/10AP6;155;23/05/2025;26/05/2025;3;
PF0334070/10AP6;50;23/05/2025;29/05/2025;6;
PF0489070/10AP6;53;28/05/2025;03/06/2025;6;
PF0685070/10AP6;53;03/06/2025;06/06/2025;3;
PF0489070/10AP6;104;28/05/2025;13/06/2025;16;
PF0496070/10AP6;100;09/06/2025;13/06/2025;4;
PF0489070/10AP6;103;28/05/2025;16/06/2025;19;
PF0685070/10AP6;53;17/06/2025;19/06/2025;2;
PF0489070/10AP6;54;20/06/2025;26/06/2025;6;
PF0327070/10AP6;28;23/06/2025;26/06/2025;3;
PF0489070/10AP6;54;19/06/2025;03/07/2025;14;
PF0489070/10AP6;54;19/06/2025;03/07/2025;14;
PF0489070/10AP6;54;19/06/2025;03/07/2025;14;
PF0489070/10AP6;54;19/06/2025;03/07/2025;14;
PF0489070/10AP6;54;20/06/2025;03/07/2025;13;
PF0489070/10AP6;54;19/06/2025;04/07/2025;15;
PF0489070/10AP6;50;19/06/2025;15/07/2025;26;
PF0685070/10AP6;31;22/07/2025;24/07/2025;2;
PF0388070/10IFL;50;31/01/2025;17/02/2025;17;
PF0457070/10X6G;83;26/10/2023;14/11/2023;19;
PF0457070/10X6G;80;19/12/2024;27/01/2025;39;
PF0457070/10X6G;140;19/12/2024;04/02/2025;47;
PF0457070/10X6G;140;19/12/2024;10/02/2025;53;
PF0655070/10XFL;20;12/05/2025;23/05/2025;11;
PF0655070/10XFL;20;05/06/2025;10/06/2025;5;
PF0654070/10XP6;27;03/06/2025;05/06/2025;2;
PF0530070/20D66;20;24/03/2023;03/04/2023;10;
PF0530070/20D66;20;07/05/2024;21/05/2024;14;
PF0431070/20IFL;15;20/06/2023;22/06/2023;2;
PF0336070/20IP6;100;12/01/2023;18/01/2023;6;
PF0336070/20IP6;193;12/01/2023;18/01/2023;6;
PF0336070/20IP6;190;31/01/2023;02/02/2023;2;
PF0336070/20IP6;20;31/01/2023;06/02/2023;6;
PF0166070/20IP6;20;06/02/2023;09/02/2023;3;
PF0336070/20IP6;75;09/02/2023;13/02/2023;4;
PF0336070/20IP6;190;09/02/2023;14/02/2023;5;
PF0336070/20IP6;33;10/02/2023;16/02/2023;6;
PF0336070/20IP6;20;07/02/2023;20/02/2023;13;
PF0336070/20IP6;34;23/02/2023;24/02/2023;1;
PF0336070/20IP6;190;23/02/2023;24/02/2023;1;
PF0336070/20IP6;200;21/02/2023;27/02/2023;6;
PF0336070/20IP6;100;22/02/2023;07/03/2023;13;
PF0336070/20IP6;99;01/03/2023;07/03/2023;6;
PF0336070/20IP6;99;01/03/2023;07/03/2023;6;
PF0336070/20IP6;51;09/03/2023;21/03/2023;12;
PF0336070/20IP6;52;09/03/2023;21/03/2023;12;
PF0336070/20IP6;100;13/03/2023;21/03/2023;8;
PF0336070/20IP6;200;10/03/2023;24/03/2023;14;
PF0336070/20IP6;191;15/03/2023;24/03/2023;9;
PF0336070/20IP6;191;17/03/2023;27/03/2023;10;
PF0036070/20IP6;72;29/03/2023;03/04/2023;5;
PF0036070/20IP6;70;29/03/2023;05/04/2023;7;
PF0336070/20IP6;190;04/04/2023;19/04/2023;15;
PF0118070/20IP6;1500;10/05/2023;15/05/2023;5;
PF0036070/20IP6;80;18/05/2023;22/05/2023;4;
PF0118070/20IP6;2000;10/05/2023;16/06/2023;37;
PF0118070/20IP6;1750;19/06/2023;27/06/2023;8;
PF0118070/20IP6;3000;21/06/2023;03/07/2023;12;
PF0336070/20IP6;137;26/07/2023;01/08/2023;6;
PF0336070/20IP6;189;26/07/2023;01/08/2023;6;
PF0336070/20IP6;67;31/08/2023;05/09/2023;5;
PF0336070/20IP6;192;14/09/2023;25/09/2023;11;
PF0336070/20IP6;68;29/09/2023;06/10/2023;7;
PF0129070/20IP6;70;10/10/2023;20/10/2023;10;
PF0004070/20IP6;55;30/11/2023;01/12/2023;1;
PF0336070/20IP6;190;29/11/2023;07/12/2023;8;
PF0036070/20IP6;134;04/12/2023;12/12/2023;8;
PF0036070/20IP6;153;04/12/2023;12/12/2023;8;
PF0336070/20IP6;186;12/12/2023;12/01/2024;31;
PF0336070/20IP6;95;22/02/2024;06/03/2024;13;
PF0336070/20IP6;35;12/12/2023;08/03/2024;87;
PF0336070/20IP6;50;07/03/2024;15/03/2024;8;
PF0153070/20IP6;50;13/03/2024;19/03/2024;6;
PF0153070/20IP6;50;13/03/2024;19/03/2024;6;
PF0336070/20IP6;186;22/03/2024;27/03/2024;5;
PF0336070/20IP6;191;03/04/2024;09/04/2024;6;
PF0336070/20IP6;192;04/04/2024;10/04/2024;6;
PF0336070/20IP6;191;27/03/2024;16/04/2024;20;
PF0336070/20IP6;192;27/03/2024;16/04/2024;20;
PF0336070/20IP6;192;27/03/2024;17/04/2024;21;
PF0336070/20IP6;100;15/04/2024;03/05/2024;18;
PF0336070/20IP6;190;15/04/2024;03/05/2024;18;
PF0336070/20IP6;122;18/04/2024;06/05/2024;18;
PF0118070/20IP6;500;02/05/2024;07/05/2024;5;
PF0004070/20IP6;111,120002746582;06/05/2024;07/05/2024;1;
PF0336070/20IP6;56;13/05/2024;15/05/2024;2;
PF0336070/20IP6;190;08/05/2024;23/05/2024;15;
PF0336070/20IP6;140;27/05/2024;05/06/2024;9;
PF0336070/20IP6;180;27/05/2024;05/06/2024;9;
PF0336070/20IP6;143;09/07/2024;17/10/2024;100;
PF0153070/20IP6;91;06/11/2024;11/11/2024;5;
PF0153070/20IP6;76;06/11/2024;12/11/2024;6;
PF0129070/20IP6;100;07/11/2024;14/11/2024;7;
PF0129070/20IP6;90;07/11/2024;15/11/2024;8;
PF0153070/20IP6;75;20/11/2024;02/12/2024;12;
PF0153070/20IP6;75;20/11/2024;02/12/2024;12;
PF0004070/20IP6;40;03/12/2024;11/12/2024;8;
PF0153070/20IP6;200;20/12/2024;08/01/2025;19;
PF0129070/20IP6;200;14/01/2025;29/01/2025;15;
PF0129070/20IP6;200;14/01/2025;30/01/2025;16;
PF0129070/20IP6;203;14/01/2025;11/02/2025;28;
PF0129070/20IP6;100;10/02/2025;11/02/2025;1;
PF0004070/20IP6;345;10/02/2025;11/02/2025;1;
PF0004070/20IP6;25;27/03/2025;28/03/2025;1;
PF0336070/20IP6;30;23/07/2025;25/07/2025;2;
PF0336070/20IP6;30;23/07/2025;28/07/2025;5;
PF0180070/20IYG;106;17/01/2023;19/01/2023;2;
PF0180070/20IYG;194;20/01/2023;27/01/2023;7;
PF0180070/20IYG;102;09/02/2023;15/02/2023;6;
PF0180070/20IYG;82;09/02/2023;20/02/2023;11;
PF0749070/20IYG;21;13/04/2023;19/04/2023;6;
PF0180070/20IYG;62;05/10/2023;19/10/2023;14;
PF0180070/20IYG;174;05/10/2023;19/10/2023;14;
PF0180070/20IYG;31;02/10/2023;23/10/2023;21;
PF0180070/20IYG;52;11/12/2023;14/12/2023;3;
PF0180070/20IYG;52;14/12/2023;24/01/2024;41;
PF0180070/20IYG;52;31/01/2024;12/02/2024;12;
PF0180070/20IYG;40;16/02/2024;04/03/2024;17;
PF0180070/20IYG;70;16/02/2024;04/03/2024;17;
PF0180070/20IYG;30;22/02/2024;04/03/2024;11;
PF0180070/20IYG;192;14/03/2024;22/03/2024;8;
PF0180070/20IYG;51;03/04/2024;23/04/2024;20;
PF0180070/20IYG;27;04/02/2025;18/02/2025;14;
PF0180070/20IYG;27;04/02/2025;26/02/2025;22;
PF0180070/20IYG;135;17/03/2025;31/03/2025;14;
PF0180070/20IYG;198;17/03/2025;31/03/2025;14;
PF0180070/20IYG;55;24/03/2025;08/04/2025;15;
PF0180070/20IYG;54;13/05/2025;22/05/2025;9;
PF0180070/20IYG;104;10/06/2025;16/06/2025;6;
PF0180070/20IYG;55;20/06/2025;27/06/2025;7;
PF0180070/20IYG;189;24/06/2025;27/06/2025;3;
PF0180070/20IYG;54;11/07/2025;21/07/2025;10;
PF0180070/20IYG;148;11/07/2025;23/07/2025;12;
PF0626070/20X66;30;11/04/2023;03/05/2023;22;
PF0626070/20X66;52;14/09/2023;28/09/2023;14;
PF0819070/20X66;20;17/04/2024;18/04/2024;1;
PF0626070/20X66;50;04/02/2025;17/02/2025;13;
PF0129070/20X66;50;13/02/2023;21/02/2023;8;
PF0129070/20X66;32;08/03/2023;16/03/2023;8;
PF0128070/20X66;20;13/04/2023;08/05/2023;25;
PF0327070/20X66;50;07/06/2023;08/06/2023;1;
PF0334070/20X66;60;19/07/2023;20/07/2023;1;
PF0128070/20X66;25;07/09/2023;12/09/2023;5;
PF0160070/20X66;50;11/11/2024;13/11/2024;2;
PF0160070/20X66;100;08/01/2025;14/01/2025;6;
PF0327070/20X66;24;05/03/2025;06/03/2025;1;
PF0327070/20X66;15;20/03/2025;21/03/2025;1;
PF0327070/20X66;160;07/04/2025;09/04/2025;2;
PF0073070/20X66;51;10/07/2023;25/07/2023;15;
PF0036070/20X66;70;29/08/2023;07/09/2023;9;
PF0073070/20X66;50;28/11/2024;04/01/2025;37;
PF0073070/20X66;50;28/11/2024;10/01/2025;43;
PF0451070/20X6G;100;12/12/2023;22/12/2023;10;
PF0451070/20X6G;140;12/12/2023;10/01/2024;29;
PF0451070/20X6G;80;12/12/2023;11/01/2024;30;
PF0451070/20X6G;100;12/12/2023;11/01/2024;30;
PF0451070/20X6G;100;12/12/2023;12/01/2024;31;
PF0451070/20X6G;80;22/03/2024;28/03/2024;6;
PF0451070/20X6G;100;22/03/2024;29/03/2024;7;
PF0451070/20X6G;150;22/03/2024;07/05/2024;46;
PF0451070/20X6G;140;22/03/2024;10/05/2024;49;
PF0451070/20X6G;54;22/03/2024;13/05/2024;52;
PF0451070/20X6G;96;22/03/2024;13/05/2024;52;
PF0692070/20X6G;152;10/06/2024;17/06/2024;7;
PF0451070/20X6G;50;08/07/2024;17/07/2024;9;
PF0451070/20X6G;140;08/07/2024;17/07/2024;9;
PF0451070/20X6G;80;08/07/2024;18/07/2024;10;
PF0451070/20X6G;153;08/07/2024;18/07/2024;10;
PF0451070/20X6G;125;29/07/2024;28/08/2024;30;
PF0451070/20X6G;150;29/07/2024;06/09/2024;39;
PF0451070/20X6G;135;29/07/2024;10/09/2024;43;
PF0838070/20X6G;20;21/10/2024;25/10/2024;4;
PF0725070/20X6G;80;21/10/2024;30/10/2024;9;
PF0451070/20X6G;110;27/11/2024;04/12/2024;7;
PF0451070/20X6G;115;27/11/2024;04/12/2024;7;
PF0451070/20X6G;150;27/11/2024;09/12/2024;12;
PF0451070/20X6G;150;27/11/2024;09/12/2024;12;
PF0725070/20X6G;60;05/12/2024;11/12/2024;6;
PF0451070/20X6G;150;27/11/2024;03/01/2025;37;
PF0451070/20X6G;150;27/11/2024;07/01/2025;41;
PF0451070/20X6G;150;11/12/2024;15/01/2025;35;
PF0451070/20X6G;140;11/12/2024;16/01/2025;36;
PF0725070/20X6G;42;20/01/2025;28/01/2025;8;
PF0451070/20X6G;140;11/12/2024;04/02/2025;55;
PF0451070/20X6G;70;11/12/2024;05/02/2025;56;
PF0451070/20X6G;80;11/12/2024;05/02/2025;56;
PF0451070/20X6G;140;11/12/2024;05/02/2025;56;
PF0451070/20X6G;150;11/12/2024;12/02/2025;63;
PF0451070/20X6G;150;11/12/2024;17/02/2025;68;
PF0451070/20X6G;50;11/12/2024;18/02/2025;69;
PF0451070/20X6G;100;11/12/2024;21/02/2025;72;
PF0309070/20X6G;50;24/02/2025;03/03/2025;7;
PF0309070/20X6G;140;24/02/2025;04/03/2025;8;
PF0451070/20X6G;130;07/03/2025;14/03/2025;7;
PF0451070/20X6G;150;07/03/2025;25/03/2025;18;
PF0451070/20X6G;150;07/03/2025;07/04/2025;31;
PF0424070/20XEX;20;16/01/2023;02/02/2023;17;
PF0034070/20XEX;40;10/01/2023;06/02/2023;27;
PF0424070/20XEX;20;16/01/2023;06/02/2023;21;
PF0424070/20XEX;60;23/01/2023;06/02/2023;14;
PF0424070/20XEX;45;23/01/2023;07/02/2023;15;
PF0424070/20XEX;45;24/01/2023;08/02/2023;15;
PF0424070/20XEX;15;24/01/2023;09/02/2023;16;
PF0424070/20XEX;15;24/01/2023;10/02/2023;17;
PF0034070/20XEX;40;26/01/2023;10/02/2023;15;
PF0034070/20XEX;80;26/01/2023;10/02/2023;15;
PF0424070/20XEX;15;24/01/2023;13/02/2023;20;
PF0424070/20XEX;15;24/01/2023;13/02/2023;20;
PF0148070/20XEX;140;09/02/2023;16/02/2023;7;
PF0034070/20XEX;40;10/02/2023;16/02/2023;6;
PF0034070/20XEX;20;20/02/2023;06/03/2023;14;
PF0034070/20XEX;40;24/02/2023;06/03/2023;10;
PF0148070/20XEX;70;02/03/2023;08/03/2023;6;
PF0148070/20XEX;70;02/03/2023;08/03/2023;6;
PF0148070/20XEX;140;02/03/2023;08/03/2023;6;
PF0148070/20XEX;140;02/03/2023;10/03/2023;8;
PF0034070/20XEX;40;06/03/2023;14/03/2023;8;
PF0148070/20XEX;150;02/03/2023;15/03/2023;13;
PF0148070/20XEX;150;02/03/2023;16/03/2023;14;
PF0148070/20XEX;50;02/03/2023;17/03/2023;15;
PF0148070/20XEX;100;02/03/2023;17/03/2023;15;
PF0148070/20XEX;140;02/03/2023;17/03/2023;15;
PF0148070/20XEX;140;02/03/2023;17/03/2023;15;
PF0148070/20XEX;150;02/03/2023;20/03/2023;18;
PF0148070/20XEX;140;02/03/2023;22/03/2023;20;
PF0148070/20XEX;140;02/03/2023;23/03/2023;21;
PF0034070/20XEX;40;27/03/2023;31/03/2023;4;
PF0034070/20XEX;40;13/04/2023;17/04/2023;4;
PF0034070/20XEX;40;13/04/2023;18/04/2023;5;
PF0034070/20XEX;80;13/04/2023;18/04/2023;5;
PF0034070/20XEX;40;11/04/2023;20/04/2023;9;
PF0034070/20XEX;40;13/04/2023;20/04/2023;7;
PF0034070/20XEX;80;13/04/2023;20/04/2023;7;
PF0034070/20XEX;40;17/04/2023;20/04/2023;3;
PF0148070/20XEX;144;20/04/2023;26/04/2023;6;
PF0039070/20XEX;150;17/04/2023;27/04/2023;10;
PF0034070/20XEX;45;13/04/2023;28/04/2023;15;
PF0160070/20XEX;50;22/05/2023;29/05/2023;7;
PF0034070/20XEX;40;18/05/2023;01/06/2023;14;
PF0034070/20XEX;40;18/05/2023;01/06/2023;14;
PF0148070/20XEX;150;22/05/2023;01/06/2023;10;
PF0034070/20XEX;40;18/05/2023;05/06/2023;18;
PF0148070/20XEX;150;22/05/2023;05/06/2023;14;
PF0034070/20XEX;40;18/05/2023;14/06/2023;27;
PF0034070/20XEX;40;05/06/2023;16/06/2023;11;
PF0034070/20XEX;80;18/05/2023;19/06/2023;32;
PF0160070/20XEX;40;15/06/2023;22/06/2023;7;
PF0034070/20XEX;40;19/06/2023;27/06/2023;8;
PF0034070/20XEX;40;20/06/2023;27/06/2023;7;
PF0039070/20XEX;150;26/06/2023;29/06/2023;3;
PF0039070/20XEX;150;26/06/2023;30/06/2023;4;
PF0148070/20XEX;145;30/06/2023;04/07/2023;4;
PF0034070/20XEX;40;07/07/2023;11/07/2023;4;
PF0420070/20XEX;80;06/07/2023;13/07/2023;7;
PF0034070/20XEX;40;24/07/2023;26/07/2023;2;
PF0034070/20XEX;40;24/07/2023;26/07/2023;2;
PF0034070/20XEX;40;24/07/2023;26/07/2023;2;
PF0034070/20XEX;80;11/09/2023;19/09/2023;8;
PF0148070/20XEX;70;19/09/2023;27/09/2023;8;
PF0148070/20XEX;150;19/09/2023;27/09/2023;8;
PF0148070/20XEX;70;19/09/2023;28/09/2023;9;
PF0148070/20XEX;140;19/09/2023;28/09/2023;9;
PF0148070/20XEX;50;19/09/2023;02/10/2023;13;
PF0148070/20XEX;140;19/09/2023;02/10/2023;13;
PF0148070/20XEX;150;19/09/2023;02/10/2023;13;
PF0148070/20XEX;140;19/09/2023;03/10/2023;14;
PF0034070/20XEX;40;02/10/2023;04/10/2023;2;
PF0148070/20XEX;100;19/09/2023;05/10/2023;16;
PF0034070/20XEX;20;02/10/2023;12/10/2023;10;
PF0148070/20XEX;140;24/10/2023;06/11/2023;13;
PF0034070/20XEX;80;31/10/2023;08/11/2023;8;
PF0034070/20XEX;80;31/10/2023;10/11/2023;10;
PF0034070/20XEX;20;31/10/2023;13/11/2023;13;
PF0034070/20XEX;20;08/11/2023;15/11/2023;7;
PF0034070/20XEX;40;31/10/2023;21/11/2023;21;
PF0039070/20XEX;140;16/11/2023;21/11/2023;5;
PF0039070/20XEX;140;16/11/2023;22/11/2023;6;
PF0039070/20XEX;140;16/11/2023;23/11/2023;7;
PF0039070/20XEX;140;16/11/2023;24/11/2023;8;
PF0148070/20XEX;150;22/11/2023;27/11/2023;5;
PF0148070/20XEX;140;20/11/2023;28/11/2023;8;
PF0034070/20XEX;40;31/10/2023;05/12/2023;35;
PF0039070/20XEX;100;13/12/2023;19/12/2023;6;
PF0039070/20XEX;100;13/12/2023;21/12/2023;8;
PF0148070/20XEX;100;18/12/2023;21/12/2023;3;
PF0039070/20XEX;100;13/12/2023;22/12/2023;9;
PF0148070/20XEX;100;18/12/2023;09/01/2024;22;
PF0039070/20XEX;100;13/12/2023;15/01/2024;33;
PF0034070/20XEX;40;22/12/2023;15/01/2024;24;
PF0148070/20XEX;100;09/01/2024;15/01/2024;6;
PF0148070/20XEX;50;12/01/2024;15/01/2024;3;
PF0148070/20XEX;100;12/01/2024;15/01/2024;3;
PF0148070/20XEX;140;11/01/2024;17/01/2024;6;
PF0148070/20XEX;50;16/01/2024;17/01/2024;1;
PF0034070/20XEX;80;15/01/2024;22/01/2024;7;
PF0034070/20XEX;40;17/01/2024;22/01/2024;5;
PF0039070/20XEX;120;15/01/2024;23/01/2024;8;
PF0034070/20XEX;40;17/01/2024;23/01/2024;6;
PF0034070/20XEX;40;17/01/2024;26/01/2024;9;
PF0148070/20XEX;140;11/01/2024;29/01/2024;18;
PF0034070/20XEX;40;17/01/2024;29/01/2024;12;
PF0034070/20XEX;80;26/01/2024;05/02/2024;10;
PF0034070/20XEX;40;26/01/2024;06/02/2024;11;
PF0034070/20XEX;80;02/02/2024;07/02/2024;5;
PF0034070/20XEX;40;13/02/2024;20/02/2024;7;
PF0034070/20XEX;40;13/02/2024;20/02/2024;7;
PF0039070/20XEX;150;14/02/2024;20/02/2024;6;
PF0034070/20XEX;40;20/02/2024;22/02/2024;2;
PF0034070/20XEX;40;16/02/2024;07/03/2024;20;
PF0148070/20XEX;150;16/02/2024;13/03/2024;26;
PF0148070/20XEX;150;11/01/2024;14/03/2024;63;
PF0034070/20XEX;40;26/02/2024;14/03/2024;17;
PF0034070/20XEX;40;26/02/2024;14/03/2024;17;
PF0034070/20XEX;40;13/03/2024;19/03/2024;6;
PF0148070/20XEX;140;11/01/2024;22/03/2024;71;
PF0148070/20XEX;140;15/01/2024;22/03/2024;67;
PF0148070/20XEX;140;15/01/2024;22/03/2024;67;
PF0148070/20XEX;140;15/01/2024;22/03/2024;67;
PF0034070/20XEX;35;13/03/2024;29/03/2024;16;
PF0034070/20XEX;40;25/03/2024;29/03/2024;4;
PF0039070/20XEX;50;25/03/2024;09/04/2024;15;
PF0034070/20XEX;40;10/04/2024;15/04/2024;5;
PF0034070/20XEX;80;18/04/2024;07/05/2024;19;
PF0034070/20XEX;40;18/04/2024;10/05/2024;22;
PF0034070/20XEX;40;18/04/2024;10/05/2024;22;
PF0034070/20XEX;40;18/04/2024;13/05/2024;25;
PF0034070/20XEX;50;18/04/2024;14/05/2024;26;
PF0420070/20XEX;140;08/05/2024;17/05/2024;9;
PF0039070/20XEX;140;13/05/2024;21/05/2024;8;
PF0148070/20XEX;150;22/05/2024;03/06/2024;12;
PF0034070/20XEX;40;28/05/2024;07/06/2024;10;
PF0034070/20XEX;40;28/05/2024;07/06/2024;10;
PF0039070/20XEX;150;28/05/2024;07/06/2024;10;
PF0148070/20XEX;140;22/05/2024;10/06/2024;19;
PF0148070/20XEX;140;22/05/2024;10/06/2024;19;
PF0039070/20XEX;150;28/05/2024;10/06/2024;13;
