nome_cliente_11;codice_articolo_11;articolo_colore_11;unita_di_misura_11;quantita_11;imponibile_11
ARCOS SRL UNIPERSONALE;;;NR;117,390003204346;-1077,64
CALZIFICIO BONADEI SRL;;;;;
CALZIFICIO BONADEI SRL;PF0006070/10X661000;70/1 ELAS RIT PA 66 - GRIGIO 4303;KG;77,5599994659424;787,23
CALZIFICIO BONADEI SRL;PF0006070/10X661001;70/1 ELAS RIT PA 66 - ANTRACITE 35;KG;48,3900012969971;491,16
CALZIFICIO BONADEI SRL;PF0006070/10X661006;70/1 ELAS RIT PA 66 - OLIVA SCURO;KG;83,4500007629395;830,33
CALZIFICIO BONADEI SRL;PF0006070/10X661008;70/1 ELAS RIT PA 66 - NOCCIOLA;KG;83,4699983596802;830,53
CALZIFICIO BONADEI SRL;PF0006070/10X661009;70/1 ELAS RIT PA 66 - RAPA;KG;77,6800003051758;788,46
CALZIFICIO BONADEI SRL;PF0006070/10X661011;70/1 ELAS RIT PA 66 - GRIGIO 4448;KG;79,4799995422363;790,83
CALZIFICIO BONADEI SRL;PF0006070/10X661016;70/1 ELAS RIT PA 66 - GHIACCIO;KG;15,75;156,71
CALZIFICIO BONADEI SRL;PF0006070/10X661017;70/1 ELAS RIT PA 66 - SIGARO 4788;KG;31,1399993896484;309,84
CALZIFICIO BONADEI SRL;PF0006070/20X661000;70/2 ELAS RIT PA 66 - GRIGIO 4303;KG;30,2400002479553;275,18
CALZIFICIO BONADEI SRL;PF0006070/20X661001;70/2 ELAS RIT PA 66 - ANTRACITE 35;KG;40,5700006484985;377,31
CALZIFICIO BONADEI SRL;PF0006070/20X661006;70/2 ELAS RIT PA 66 - OLIVA SCURO;KG;85,8800001144409;781,51
CALZIFICIO BONADEI SRL;PF0006070/20X661007;70/2 ELAS RIT PA 66 - OLIVA CHIARO;KG;53,3699998855591;485,67
CALZIFICIO BONADEI SRL;PF0006070/20X661009;70/2 ELAS RIT PA 66 - RAPA;KG;82,2600002288818;748,57
CALZIFICIO BONADEI SRL;PF0006070/20X661016;70/2 ELAS RIT PA 66 - GHIACCIO;KG;27,5099992752075;250,34
CALZIFICIO BONADEI SRL;PF0006070/20X661017;70/2 ELAS RIT PA 66 - SIGARO 4788;KG;31,5700001716614;287,29
