nome_cliente_19;codice_articolo_19;articolo_colore_19;unita_di_misura_19;quantita_19;imponibile_19
ARCOS SRL UNIPERSONALE;;;;;
ARCOS SRL UNIPERSONALE;PF0003070/20\661011;70/2 ELAS RIT S. PA 66 - NERO 999;KG;615,780002117157;5973,09
ARCOS SRL UNIPERSONALE;PF0003070/20\661013;70/2 ELAS RIT S. PA 66 - CANDIDO;KG;84,6599998474121;821,2
ARCOS SRL UNIPERSONALE;PF0003070/20\661046;70/2 ELAS RIT S. PA 66 - GIALLO 106;KG;20,4099998474121;197,97
ARCOS SRL UNIPERSONALE;PF0003070/20\661047;70/2 ELAS RIT S. PA 66 - MATTONE 346;KG;19,8800001144409;192,84
ARCOS SRL UNIPERSONALE;PF0003070/20\661048;70/2 ELAS RIT S. PA 66 - BLU 628/98;KG;46,2400007247925;448,53
ARCOS SRL UNIPERSONALE;PF0003070/60XP61013;70/6 ELAS RIT PA 6 - CANDIDO;KG;34,2600002884865;400,84
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X661037;40/2 ELAS RIT PA 66 - GREGGIO;KG;217,999999284744;1951,1
CIOCCA SPA;PF0008040/20XEX1000;40/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;76,2100011408329;1002,16
CIOCCA SPA;PF0008040/20XEX1001;40/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;620,929998159409;8165,25
CIOCCA SPA;PF0008040/20XEX1002;40/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;588,169999361038;7734,46
CIOCCA SPA;PF0008040/20XEX1003;40/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;74,8700003623962;984,54
CIOCCA SPA;PF0008040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;244,940000712872;3220,98
CIOCCA SPA;PF0008040/20XEX1005;40/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;78,7500004768372;1035,56
CIOCCA SPA;PF0008040/20XEX1007;40/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;17,7200000286102;233,02
CIOCCA SPA;PF0008040/20XEX1008;40/2 ELAS RIT FLEXI PA 66 - CORDA 06;KG;95,0099997520447;1249,4
CIOCCA SPA;PF0008040/20XEX1009;40/2 ELAS RIT FLEXI PA 66 - ARGENTO 36;KG;29,0699996948242;382,27
CIOCCA SPA;PF0008040/20XEX1016;40/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;104,199999332428;1370,22
CIOCCA SPA;PF0008040/20XEX1023;40/2 ELAS RIT FLEXI PA 66 - AVIO 712;KG;17,5499997138977;230,79
CIOCCA SPA;PF0008040/20XEX1026;40/2 ELAS RIT FLEXI PA 66 - BEIGE 111;KG;18,7600002288818;246,69
CIOCCA SPA;PF0008040/20XEX1030;40/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;19,0799999237061;250,9
CIOCCA SPA;PF0008060/20X661037;60/2 ELAS RIT PA 66 - GREGGIO;KG;263,820000171661;2005,02
CIOCCA SPA;PF0008060/20XEX1000;60/2 ELAS RIT FLEXI PA 66 - MORO 81;KG;87,2599995136261;951,14
CIOCCA SPA;PF0008060/20XEX1001;60/2 ELAS RIT FLEXI PA 66 - NERO 20;KG;394,939999103546;4304,88
CIOCCA SPA;PF0008060/20XEX1002;60/2 ELAS RIT FLEXI PA 66 - BLU NOTTE 85;KG;407,640000104904;4443,27
CIOCCA SPA;PF0008060/20XEX1003;60/2 ELAS RIT FLEXI PA 66 - GRIGIO TOPO 88;KG;49,7399997115135;542,17
CIOCCA SPA;PF0008060/20XEX1004;60/2 ELAS RIT FLEXI PA 66 - ANTRACITE 89;KG;100,309999465942;1093,39
CIOCCA SPA;PF0008060/20XEX1005;60/2 ELAS RIT FLEXI PA 66 - BORDO' 58;KG;35,5099992752075;387,06
CIOCCA SPA;PF0008060/20XEX1007;60/2 ELAS RIT FLEXI PA 66 - BLU NAVY 77;KG;45,3100004196167;493,89
CIOCCA SPA;PF0008060/20XEX1009;60/2 ELAS RIT FLEXI PA 66 - ARGENTO 36;KG;17,8799996376038;194,89
CIOCCA SPA;PF0008060/20XEX1016;60/2 ELAS RIT FLEXI PA 66 - SABBIA 03;KG;19,3400001525879;210,81
CIOCCA SPA;PF0008060/20XEX1020;60/2 ELAS RIT FLEXI PA 66 - MILITARE 42;KG;1,62000000476837;17,66
CIOCCA SPA;PF0008060/20XEX1022;60/2 ELAS RIT FLEXI PA 66 - NATURALE 301;KG;19,8200001716614;216,04
CIOCCA SPA;PF0008060/20XEX1023;60/2 ELAS RIT FLEXI PA 66 - AVIO 712;KG;18,710000038147;203,94
CIOCCA SPA;PF0008060/20XEX1024;60/2 ELAS RIT FLEXI PA 66 - BIANCO 02;KG;146;1591,42
CIOCCA SPA;PF0008060/20XEX1030;60/2 ELAS RIT FLEXI PA 66 - AVIO 778;KG;28,710000038147;312,94
CIOCCA SPA;PF0008060/20XEX1031;60/2 ELAS RIT FLEXI PA 66 - GHISA 87;KG;39,0799992084503;425,97
CIOCCA SPA;PF0008060/20XEX1033;60/2 ELAS RIT FLEXI PA 66 - BEIGE 14;KG;18,3700001239777;200,24
CIOCCA SPA;PF0008060/30X661001;60/3 ELAS RIT PA 66 - NERO 20;KG;86,789999961853;985,07
CIOCCA SPA;PF0008060/30X661002;60/3 ELAS RIT PA 66 - BLU NOTTE 85;KG;45,2699989080429;513,81
CIOCCA SPA;PF0008060/30X661004;60/3 ELAS RIT PA 66 - ANTRACITE 89;KG;20,8399991989136;236,53
CIOCCA SPA;PF0008060/30X661024;60/3 ELAS RIT PA 66 - BIANCO 02;KG;74,0800001621246;840,8
CIOCCA SPA;PF000844/340XTC1010;44/34/2 ELAS RIT TACTEL - NERO 20;KG;105,779998660088;1613,16
CIOCCA SPA;PF000844/340XTC1011;44/34/2 ELAS RIT TACTEL - BLU NOTTE 85;KG;108,039999723434;1647,61
CIOCCA SPA;PF000844/340XTC1012;44/34/2 ELAS RIT TACTEL - ANTRACITE 89;KG;61,4999995231628;937,88
CIOCCA SPA;PF000844/340XTC1037;44/34/2 ELAS RIT TACTEL - GREGGIO;KG;58,6800010204315;671,88
DUBLO SRL;;;kg;17,1800003051758;-255,98
DUBLO SRL;;;;0;0
DUBLO SRL;PF001167/200K661000;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - MARRONE 090;KG;65,8500001430511;954,84
DUBLO SRL;PF001167/200K661001;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BLEU 051;KG;459,890003800392;6668,5
DUBLO SRL;PF001167/200K661002;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - NERO 002;KG;116,970000505447;1696,07
