nome_cliente_14;codice_articolo_14;articolo_colore_14;unita_di_misura_14;quantita_14;imponibile_14
CIOCCA SPA;;;KG;114,840000867844;-1268,64
CIOCCA SPA;;;NR;1;-80,83
CIOCCA SPA;;;;;
CIOCCA SPA;PF0008040/20X660001;40/2 ELAS RIT PA 66 - GREGGIO;KG;366,55999982357;3170,73
CIOCCA SPA;PF0008040/20X661000;40/2 ELAS RIT PA 66 - MORO 81;KG;135,149999260902;1736,67
CIOCCA SPA;PF0008040/20X661001;40/2 ELAS RIT PA 66 - NERO 20;KG;858,419998407364;8801,33
CIOCCA SPA;PF0008040/20X661002;40/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;1047,67999899387;10152,42
CIOCCA SPA;PF0008040/20X661003;40/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;190,839999437332;2092,38
CIOCCA SPA;PF0008040/20X661004;40/2 ELAS RIT PA 66 - ANTRACITE 89;KG;380,869998931885;4123,04
CIOCCA SPA;PF0008040/20X661005;40/2 ELAS RIT PA 66 - BORDO' 58;KG;72,2099999189377;927,89
CIOCCA SPA;PF0008040/20X661008;40/2 ELAS RIT PA 66 - CORDA 06;KG;42,1899999380112;542,15
CIOCCA SPA;PF0008040/20X661009;40/2 ELAS RIT PA 66 - ARGENTO 36;KG;60,4500000476837;776,79
CIOCCA SPA;PF0008040/20X661016;40/2 ELAS RIT PA 66 - SABBIA 03;KG;86,4599996209145;1111,02
CIOCCA SPA;PF0008040/20X661023;40/2 ELAS RIT PA 66 - AVIO 712;KG;14,759999871254;189,67
CIOCCA SPA;PF0008040/20X661025;40/2 ELAS RIT PA 66 - SALVIA 43;KG;13,4999997615814;173,48
CIOCCA SPA;PF0008040/20X661026;40/2 ELAS RIT PA 66 - BEIGE 111;KG;14,8900003433228;191,34
CIOCCA SPA;PF0008040/20X661030;40/2 ELAS RIT PA 66 - AVIO 778;KG;13,9399998188019;179,13
CIOCCA SPA;PF0008040/20X661033;40/2 ELAS RIT PA 66 - BEIGE 14;KG;43,8100003600121;562,96
CIOCCA SPA;PF0008060/20X661000;60/2 ELAS RIT PA 66 - MORO 81;KG;58,5100002288818;620,22
CIOCCA SPA;PF0008060/20X661001;60/2 ELAS RIT PA 66 - NERO 20;KG;706,730001211166;6304,72
CIOCCA SPA;PF0008060/20X661002;60/2 ELAS RIT PA 66 - BLU NOTTE 85;KG;606,8399964571;5301,98
CIOCCA SPA;PF0008060/20X661003;60/2 ELAS RIT PA 66 - GRIGIO TOPO 88;KG;89,1700007915497;945,2
CIOCCA SPA;PF0008060/20X661004;60/2 ELAS RIT PA 66 - ANTRACITE 89;KG;170,840000391006;1810,88
CIOCCA SPA;PF0008060/20X661005;60/2 ELAS RIT PA 66 - BORDO' 58;KG;45,0099997520447;477,11
CIOCCA SPA;PF0008060/20X661006;60/2 ELAS RIT PA 66 - INDACO 728;KG;14,940000295639;158,37
CIOCCA SPA;PF0008060/20X661007;60/2 ELAS RIT PA 66 - BLU NAVY 77;KG;15,7599997520447;167,05
CIOCCA SPA;PF0008060/20X661008;60/2 ELAS RIT PA 66 - CORDA 06;KG;38,0799994468689;403,64
CIOCCA SPA;PF0008060/20X661009;60/2 ELAS RIT PA 66 - ARGENTO 36;KG;45,5800006389618;483,15
CIOCCA SPA;PF0008060/20X661014;60/2 ELAS RIT PA 66 - GHIACCIO 131;KG;11,7399997711182;124,44
CIOCCA SPA;PF0008060/20X661016;60/2 ELAS RIT PA 66 - SABBIA 03;KG;12,5800000429153;133,35
CIOCCA SPA;PF0008060/20X661024;60/2 ELAS RIT PA 66 - BIANCO 02;KG;324,510000109673;3439,8
CIOCCA SPA;PF0008060/20X661025;60/2 ELAS RIT PA 66 - SALVIA 43;KG;14,0400004386902;148,82
CIOCCA SPA;PF0008060/20X661027;60/2 ELAS RIT PA 66 - CACAO 15;KG;13,2299998402596;140,24
CIOCCA SPA;PF0008060/20X661030;60/2 ELAS RIT PA 66 - AVIO 778;KG;15,1999998092651;161,12
CIOCCA SPA;PF0008060/20X661033;60/2 ELAS RIT PA 66 - BEIGE 14;KG;12,5200003385544;132,71
CIOCCA SPA;PF0008060/30X660001;60/3 ELAS RIT PA 66 - GREGGIO;KG;24,0299999713898;0
CIOCCA SPA;PF0008060/30X661001;60/3 ELAS RIT PA 66 - NERO 20;KG;139,26000058651;1531,86
CIOCCA SPA;PF0008060/30X661002;60/3 ELAS RIT PA 66 - BLU NOTTE 85;KG;56,1699995994568;617,87
CIOCCA SPA;PF0008060/30X661024;60/3 ELAS RIT PA 66 - BIANCO 02;KG;128,789999604225;1416,69
CIOCCA SPA;PF000844/340XTC0001;44/34/2 ELAS RIT TACTEL - GREGGIO;KG;48,5999991893768;539,45
CIOCCA SPA;PF000844/340XTC1010;44/34/2 ELAS RIT TACTEL - NERO 20;KG;181,939999580383;2710,91
CIOCCA SPA;PF000844/340XTC1011;44/34/2 ELAS RIT TACTEL - BLU NOTTE 85;KG;184,000000476837;2741,6
CIOCCA SPA;PF000844/340XTC1012;44/34/2 ELAS RIT TACTEL - ANTRACITE 89;KG;74,1200001239777;1104,39
CIOCCA SPA;PF000844/340XTC1015;44/34/2 ELAS RIT TACTEL - CORDA 06;KG;41,3500001430511;616,12
CIOCCA SPA;PF000844/340XTC1035;44/34/2 ELAS RIT TACTEL - BORDO' 58;KG;3,8199999332428;56,92
CIOCCA SPA;PF000844/340XTC1036;44/34/2 ELAS RIT TACTEL - VERDE 48;KG;1,73000001907349;25,78
DOLCI CALZE 2 SRL;;;;;
DOLCI CALZE 2 SRL;PF0010060/20X661002;60/2 ELAS RIT PA 66 - MORO;KG;59,4800004959106;642,38
DOLCI CALZE 2 SRL;PF0010060/20X661006;60/2 ELAS RIT PA 66 - FUME';KG;113,779999613762;1228,82
DOLCI CALZE 2 SRL;PF0010060/20X661012;60/2 ELAS RIT PA 66 - MARRONE SPENTO;KG;39,8600006103516;430,49
DUBLO SRL;;;KG;20,7099990844727;-240,24
DUBLO SRL;;;;;
DUBLO SRL;PF001167/200K661000;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - MARRONE 090;KG;58,9800008535385;684,17
DUBLO SRL;PF001167/200K661001;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - BLEU 051;KG;547,08000087738;6346,11
DUBLO SRL;PF001167/200K661002;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - NERO 002;KG;368,309999704361;4272,4
DUBLO SRL;PF001167/200K661003;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - ANTRACITE 082;KG;296,500000476837;3439,4
DUBLO SRL;PF001167/200K661005;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - GRIGIO MEDIO 084;KG;58,7400010824203;681,39
